8071	36
8258	36
8638	36
8868	36
9039	36
9151	36
10005	36
11659	36
11717	36
11979	36
86016	597
86144	597
86199	597
86725	597
86824	597
116431	755
116720	755
117227	755
118479	755
156741	1194
156802	1194
156905	1194
157089	1194
157165	1194
158720	1201
275261	1798
275478	1798
275545	1798
275572	1798
275749	1798
275778	1798
276890	1798
277011	1798
278549	1801
278934	1801
308024	1902
308054	1902
308137	1902
308275	1902
308917	1902
309258	1902
309770	1902
309899	1902
356635	2180
356664	2180
356888	2180
357194	2180
357419	2180
357597	2180
357860	2180
358146	2180
358345	2180
358360	2180
358758	2180
358765	2180
358823	2180
358897	2180
359052	2180
359187	2180
359399	2180
359663	2180
359792	2180
360668	2180
361006	2180
436537	2504
436767	2504
437276	2504
486705	2934
486711	2934
486927	2934
487108	2934
487134	2934
487154	2934
487316	2934
504121	3027
504351	3027
536197	3230
536372	3230
536495	3230
536501	3230
551267	3318
551635	3318
552309	3318
552408	3318
552430	3318
554673	3329
555312	3329
555434	3329
556204	3329
556244	3329
556333	3329
595591	3594
595825	3594
596187	3594
596227	3594
596641	3594
596689	3594
596850	3594
597204	3594
627055	3771
