8258	16200
8638	3460
8638	16678
8638	16679
8868	16964
11979	20480
11979	20481
86824	35505
86824	114663
156741	113878
157165	12317
275261	260301
275478	4386
275545	33478
275545	260430
275572	119307
275778	22640
276890	260917
277011	9391
277011	114417
278549	50634
278934	171091
308024	26030
308054	15791
308054	15795
308275	16330
308917	48550
309770	50673
356635	50098
356664	16425
356664	17565
357419	16317
357597	16546
358345	17383
358758	48499
358823	17952
358897	16116
359187	18345
359663	15768
359663	15846
359792	22847
361006	42761
436767	26030
437276	323576
437276	366615
486711	149399
486927	113807
487134	75256
487154	152169
504121	33614
536197	81587
536197	85913
536495	33745
536495	261342
551267	18869
552309	421497
555434	7757
556204	13239
556204	36021
556204	114651
556244	388149
595591	33972
595591	34224
595825	438265
596641	18074
596641	33972
596689	36021
596689	154894
597204	2237
